INFO 2025-06-20 18:26:26,665 autoreload 20387 139711488857280 Watching for file changes with StatReloader
INFO 2025-06-20 18:35:25,609 basehttp 21704 140404712322624 "GET /login/ HTTP/1.1" 200 16313
INFO 2025-06-20 18:35:27,568 auth_backend 21704 140404712322624 Credenciales GLPI válidas para usuario 28492679.
INFO 2025-06-20 18:35:27,653 auth_backend 21704 140404712322624 Usuario 28492679 añadido/asegurado en grupo Django 'Perfil Requerido'.
INFO 2025-06-20 18:35:27,839 views 21704 140404712322624 Inicio de sesión exitoso para el usuario 28492679.
INFO 2025-06-20 18:35:27,916 basehttp 21704 140404712322624 "POST /login/ HTTP/1.1" 302 0
INFO 2025-06-20 18:35:28,233 basehttp 21704 140404712322624 "GET / HTTP/1.1" 200 94835
INFO 2025-06-20 18:35:28,732 basehttp 21704 140404712322624 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:35:35,950 basehttp 21704 140404712322624 "GET /obtener-grupos/ HTTP/1.1" 200 557
INFO 2025-06-20 18:35:42,495 basehttp 21704 140404712322624 "GET /obtener-subgrupos/?grupo_id=122 HTTP/1.1" 200 450
INFO 2025-06-20 18:35:44,002 basehttp 21704 140404712322624 "GET /obtener-tecnicos-por-subgrupo/?subgrupo_id=11 HTTP/1.1" 200 433
INFO 2025-06-20 18:36:05,002 views 21704 140404712322624 Generando cuadro de tendencia SLA para técnicos ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )'] entre 2025-06-01 y 2025-06-30, agrupado por mes
INFO 2025-06-20 18:36:05,467 basehttp 21704 140404712322624 "POST /generar-tendencia-sla/ HTTP/1.1" 200 478
INFO 2025-06-20 18:36:48,829 views 21704 140404712322624 Generando cuadro de tendencia SLA para técnicos ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )'] entre 2025-06-01 y 2025-06-30, agrupado por mes
INFO 2025-06-20 18:36:49,262 basehttp 21704 140404712322624 "POST /generar-tendencia-sla/ HTTP/1.1" 200 478
INFO 2025-06-20 18:38:41,399 basehttp 21704 140404712322624 "GET / HTTP/1.1" 200 94835
INFO 2025-06-20 18:38:42,140 basehttp 21704 140404712322624 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:38:57,112 basehttp 21704 140404712322624 "GET /obtener-grupos/ HTTP/1.1" 200 557
INFO 2025-06-20 18:38:59,486 basehttp 21704 140404712322624 "GET /obtener-subgrupos/?grupo_id=122 HTTP/1.1" 200 450
INFO 2025-06-20 18:39:01,342 basehttp 21704 140404712322624 "GET /obtener-tecnicos-por-subgrupo/?subgrupo_id=11 HTTP/1.1" 200 433
INFO 2025-06-20 18:39:05,368 views 21704 140404712322624 Generando cuadro de tendencia SLA para técnicos ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )'] entre 2025-06-01 y 2025-06-30, agrupado por mes
INFO 2025-06-20 18:39:05,769 basehttp 21704 140404712322624 "POST /generar-tendencia-sla/ HTTP/1.1" 200 478
INFO 2025-06-20 18:39:11,893 views 21704 140404712322624 Generando cuadro de tendencia SLA para técnicos ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )'] entre 2024-06-01 y 2025-06-30, agrupado por mes
INFO 2025-06-20 18:39:25,720 services 22737 139842942620864 🚀 Iniciando reporte ultra-optimizado para rango 2025-06-01 - 2025-06-20
INFO 2025-06-20 18:39:25,721 services 22737 139842942620864 📊 Rango de 20 días - Single query
INFO 2025-06-20 18:39:25,721 services 22737 139842942620864 📊 Procesando 1 chunks de datos
INFO 2025-06-20 18:39:25,722 services 22737 139842942620864 ⚡ Procesamiento directo (rango pequeño)
INFO 2025-06-20 18:39:25,722 services 22737 139842942620864 🔄 Procesando chunk: 2025-06-01 a 2025-06-20
DEBUG 2025-06-20 18:39:46,507 services 22737 139842942620864 ✅ Consulta recibidos completada para chunk 2025-06-01-2025-06-20
DEBUG 2025-06-20 18:39:46,508 services 22737 139842942620864 ✅ Consulta cerrados completada para chunk 2025-06-01-2025-06-20
DEBUG 2025-06-20 18:39:46,508 services 22737 139842942620864 ✅ Consulta sla completada para chunk 2025-06-01-2025-06-20
DEBUG 2025-06-20 18:39:46,508 services 22737 139842942620864 ✅ Consulta reabiertos completada para chunk 2025-06-01-2025-06-20
INFO 2025-06-20 18:39:46,531 services 22737 139842942620864 💾 Resultado guardado en cache por 60 minutos
INFO 2025-06-20 18:39:46,531 services 22737 139842942620864 ✅ Reporte ultra-optimizado completado en 20.81 segundos
INFO 2025-06-20 18:39:46,531 services 22737 139842942620864 📈 Procesados 2 técnicos en 1 chunks
INFO 2025-06-20 18:39:47,254 basehttp 21704 140404712322624 "POST /generar-tendencia-sla/ HTTP/1.1" 200 1982
INFO 2025-06-20 18:40:27,852 views 22948 139724902208704 Generando reporte principal para fechas 2025-06-01 a 2025-06-20 (20 días) y técnicos: ['Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )']
INFO 2025-06-20 18:40:27,852 services 22948 139724902208704 🚀 Iniciando reporte ultra-optimizado para rango 2025-06-01 - 2025-06-20
INFO 2025-06-20 18:40:27,852 services 22948 139724902208704 📊 Rango de 20 días - Single query
INFO 2025-06-20 18:40:27,853 services 22948 139724902208704 📊 Procesando 1 chunks de datos
INFO 2025-06-20 18:40:27,853 services 22948 139724902208704 ⚡ Procesamiento directo (rango pequeño)
INFO 2025-06-20 18:40:27,853 services 22948 139724902208704 🔄 Procesando chunk: 2025-06-01 a 2025-06-20
DEBUG 2025-06-20 18:40:43,138 services 22948 139724902208704 ✅ Consulta recibidos completada para chunk 2025-06-01-2025-06-20
DEBUG 2025-06-20 18:40:43,138 services 22948 139724902208704 ✅ Consulta cerrados completada para chunk 2025-06-01-2025-06-20
DEBUG 2025-06-20 18:40:43,144 services 22948 139724902208704 ✅ Consulta sla completada para chunk 2025-06-01-2025-06-20
DEBUG 2025-06-20 18:40:43,144 services 22948 139724902208704 ✅ Consulta reabiertos completada para chunk 2025-06-01-2025-06-20
INFO 2025-06-20 18:40:43,157 services 22948 139724902208704 💾 Resultado guardado en cache por 60 minutos
INFO 2025-06-20 18:40:43,157 services 22948 139724902208704 ✅ Reporte ultra-optimizado completado en 15.30 segundos
INFO 2025-06-20 18:40:43,157 services 22948 139724902208704 📈 Procesados 2 técnicos en 1 chunks
INFO 2025-06-20 18:40:43,157 views 22948 139724902208704 Reporte completado en 15.30 segundos para 2 técnicos
INFO 2025-06-20 18:41:32,293 basehttp 21704 140404712322624 "GET / HTTP/1.1" 200 94835
INFO 2025-06-20 18:41:33,117 basehttp 21704 140404712322624 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:41:44,533 views 21704 140404712322624 Generando cuadro de tendencia SLA para técnicos ['Leon Oswaldo ( INT-VE-545 )'] entre 2025-06-01 y 2025-06-30, agrupado por mes
INFO 2025-06-20 18:41:44,993 basehttp 21704 140404712322624 "POST /generar-tendencia-sla/ HTTP/1.1" 200 72
INFO 2025-06-20 18:42:00,335 autoreload 23354 140060482970816 Watching for file changes with StatReloader
INFO 2025-06-20 18:42:20,794 autoreload 23413 140476549452992 Watching for file changes with StatReloader
INFO 2025-06-20 18:42:25,910 views 23413 140475850544704 Usuario 28492679 cerrando sesión.
INFO 2025-06-20 18:42:25,987 basehttp 23413 140475850544704 "GET /logout/ HTTP/1.1" 302 0
INFO 2025-06-20 18:42:25,998 basehttp 23413 140475850544704 "GET /login/ HTTP/1.1" 200 16313
INFO 2025-06-20 18:42:27,467 auth_backend 23413 140475850544704 Credenciales GLPI válidas para usuario 28492679.
